last_edu,first_work,weight
"Massachusetts Institute of Technology","Massachusetts Institute of Technology",52
"Stanford University","Massachusetts Institute of Technology",11
"Cornell University","Massachusetts Institute of Technology",1
"University of California, Berkeley","Massachusetts Institute of Technology",12
"Harvard University","Massachusetts Institute of Technology",5
"Carnegie Mellon University","Massachusetts Institute of Technology",4
"Princeton University","Massachusetts Institute of Technology",1
"California Institute of Technology","Massachusetts Institute of Technology",3
"University of Washington","Massachusetts Institute of Technology",1
"Cornell University","Cornell University",10
"Carnegie Mellon University","Cornell University",1
"Yale University","Cornell University",1
"University of California, Berkeley","Cornell University",2
"Harvard University","Cornell University",2
"University of Washington","Cornell University",1
"Princeton University","Cornell University",1
"Stanford University","Cornell University",2
"Massachusetts Institute of Technology","Princeton University",7
"Princeton University","Princeton University",9
"Stanford University","Princeton University",2
"Cornell University","Princeton University",1
"Yale University","Princeton University",2
"University of California, Berkeley","Princeton University",1
"Carnegie Mellon University","Carnegie Mellon University",36
"Cornell University","Carnegie Mellon University",3
"Massachusetts Institute of Technology","Carnegie Mellon University",8
"University of California, Berkeley","Carnegie Mellon University",5
"University of Washington","Carnegie Mellon University",1
"Stanford University","Carnegie Mellon University",5
"California Institute of Technology","Carnegie Mellon University",1
"University of Washington","University of Washington",13
"Massachusetts Institute of Technology","University of Washington",4
"Carnegie Mellon University","University of Washington",4
"Princeton University","University of Washington",1
"Stanford University","University of Washington",1
"University of California, Berkeley","University of Washington",1
"Massachusetts Institute of Technology","Harvard University",4
"University of California, Berkeley","Harvard University",4
"Cornell University","Harvard University",1
"Harvard University","Harvard University",6
"Princeton University","Harvard University",2
"Carnegie Mellon University","Harvard University",1
"University of Washington","Harvard University",1
"Stanford University","Stanford University",31
"Cornell University","Stanford University",2
"University of California, Berkeley","Stanford University",10
"Massachusetts Institute of Technology","Stanford University",14
"California Institute of Technology","Stanford University",1
"Carnegie Mellon University","Stanford University",4
"Harvard University","Stanford University",1
"Carnegie Mellon University","University of California, Berkeley",3
"University of California, Berkeley","University of California, Berkeley",34
"Stanford University","University of California, Berkeley",9
"Princeton University","University of California, Berkeley",1
"Massachusetts Institute of Technology","University of California, Berkeley",8
"University of Washington","University of California, Berkeley",2
"Cornell University","University of California, Berkeley",1
"Stanford University","Yale University",3
"Yale University","Yale University",3
"Massachusetts Institute of Technology","Yale University",1
"Massachusetts Institute of Technology","California Institute of Technology",5
"California Institute of Technology","California Institute of Technology",5
"Cornell University","California Institute of Technology",1
"Harvard University","California Institute of Technology",1
"Princeton University","California Institute of Technology",1
"University of California, Berkeley","California Institute of Technology",2
